Title,Description,Genres,Poster_URL
THX 1138,People in the future live in a totalitarian society. A technician named THX 1138 lives a mundane life between work and taking a controlled consumption of drugs that the government uses to make puppets out of people. As THX is without drugs for the first time he has feelings for a woman and they start a secret relationship.,"Science Fiction, Action, Drama",https://image.tmdb.org/t/p/w500/25cQH5gZ60BiA5Y91HxoPpnFiY0.jpg
When You Finish Saving the World,"Evelyn and her oblivious son Ziggy seek out replacements for each other. As Evelyn tries to parent an unassuming teenager at her shelter, Ziggy fumbles through his pursuit of a brilliant young woman at school.","Drama, Comedy",https://image.tmdb.org/t/p/w500/pZyeoBDQJFPGfd0Mu8XIElGBjZz.jpg
Everlasting,"""Everlasting"" is an award-winning thriller about a High School student who travels from Colorado to L.A. to find the truth behind the murder of his girlfriend.","Crime, Drama, Thriller, Mystery, Romance",https://image.tmdb.org/t/p/w500/aWCugQP7865KVLf8RwTcbZsTd1U.jpg
PCU,"Nervous high school senior Tom Lawrence visits Port Chester University, where he gets a taste of politically correct college life when he's guided by fraternity wild man Droz and his housemates at The Pit. But Droz and his pals have rivals in nasty preppy Rand McPherson and the school's steely president. With their house threatened with expulsion, Droz and company decide to throw a raging party where the various factions will collide.",Comedy,https://image.tmdb.org/t/p/w500/xTToUzy9Im9nu2W8fz7TPWoDWN5.jpg
Dreamland,"Amid the dust storms and economic depression of Dust Bowl Era Oklahoma, Eugene Evans finds his family farm on the brink of foreclosure. Discovering fugitive bank robber Allison Wells hiding in his small town, he is torn between claiming the bounty on her head and his growing attraction to the seductive criminal.","Drama, Thriller",https://image.tmdb.org/t/p/w500/v8ax79K6TZEnMqSS5ePrNCnrK8R.jpg
Leprechaun: Back 2 tha Hood,"When Emily Woodrow and her friends happen on a treasure chest full of gold coins, they fail to to heed the warnings of a wise old psychic who had foretold that they would encounter trouble with a very nasty and protective Leprechaun.","Horror, Comedy",https://image.tmdb.org/t/p/w500/uBXtcz92oigWaWnFDyS8j5tMAc1.jpg
Sniper: Reloaded,"Marine Sgt. Brandon Beckett, son of the U.S. Marine Corps' deadliest sniper, Thomas Beckett, must turn to his father's former protégé (Billy Zane) to track down and kill a mysterious sniper before he kills his next target.","War, Action, Thriller, Drama",https://image.tmdb.org/t/p/w500/l2Clr2vyzNSptarbVzzdpJozWFg.jpg
AINBO: Spirit of the Amazon,"An epic journey of a young hero and her Spirit Guides, 'Dillo' a cute and humorous armadillo and ""Vaca"" a goofy oversized tapir, who embark on a quest to save their home in the spectacular Amazon Rainforest.","Adventure, Animation, Family, Fantasy",https://image.tmdb.org/t/p/w500/l8HyObVj8fPrzacAPtGWWLDhcfh.jpg
Bringing Up Baby,"David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances, he meets Susan Vance, and the duo have a series of misadventures which include a leopard called Baby.","Comedy, Romance",https://image.tmdb.org/t/p/w500/vTNNOtemaYmtx3k2NpsLMRJKEwZ.jpg
Victoria & Abdul,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,"Drama, History",https://image.tmdb.org/t/p/w500/uIzQ8zZ0rqjqqJUIpeeovtTryAa.jpg
